Date,ReefRaveDelicacies,PhytoFeastDelights,PlanktonPlatters,CoralCuisineCrunchies,TidalTreatTemptations
2000-01-28,3.0843749046325684,28.804611206054688,30.399518966674805,4.534010410308838,14.4183988571167
2000-01-31,3.2281250953674316,28.72392463684082,30.283483505249023,4.401011943817139,14.828153610229492
2000-02-01,3.371875047683716,28.239824295043945,31.849857330322266,4.515872955322266,15.161083221435547
2000-02-02,3.471874952316284,28.804611206054688,31.19236946105957,4.588420391082764,14.751326560974121
2000-02-03,4.209374904632568,28.03809356689453,32.06258010864258,4.630733966827393,14.597668647766113
2000-02-04,3.9281249046325684,28.401165008544922,32.971473693847656,4.515872955322266,14.64888858795166
2000-02-07,3.75,26.989194869995117,32.990806579589844,4.376829147338867,15.161083221435547
2000-02-08,4.15625,26.464733123779297,34.01573181152344,3.578843355178833,15.494011878967285
2000-02-09,4.012499809265137,25.260025024414062,32.17860794067383,3.2644870281219482,14.802545547485352
2000-02-10,3.809375047683716,25.745790481567383,32.797420501708984,3.2644870281219482,14.341562271118164
2000-02-11,3.809375047683716,25.82676887512207,30.921642303466797,3.288668394088745,14.341562271118164
2000-02-14,3.721874952316284,24.774269104003906,30.82494354248047,3.125443935394287,14.341562271118164
2000-02-15,3.690624952316284,24.93618392944336,30.49618148803711,2.9440839290618896,14.572057723999023
2000-02-16,3.534374952316284,24.126564025878906,30.206132888793945,2.8534035682678223,13.864457130432129
2000-02-17,3.450000047683716,24.28847312927246,30.82494354248047,2.805039405822754,13.967161178588867
2000-02-18,3.237499952316284,23.316951751708984,29.41326904296875,2.7083137035369873,13.967161178588867
2000-02-22,3.1781249046325684,25.179059982299805,29.026491165161133,2.6115903854370117,13.761751174926758
2000-02-23,3.5218749046325684,24.045591354370117,29.161861419677734,2.714359760284424,13.967161178588867
2000-02-24,3.421875,23.6812744140625,29.316577911376953,2.6176345348358154,13.58202838897705
2000-02-25,3.456249952316284,24.49089241027832,28.25296401977539,2.569272994995117,13.29960823059082
2000-02-28,3.2874999046325684,23.96463966369629,28.33034324645996,2.6962242126464844,13.222586631774902
2000-02-29,3.4437499046325684,23.924161911010742,27.653499603271484,2.75063157081604,13.196907043457031
2000-03-01,3.293750047683716,23.519363403320312,28.098268508911133,2.7204058170318604,13.094206809997559
2000-03-02,3.128124952316284,23.27646255493164,28.891128540039062,2.847357988357544,13.14555835723877
2000-03-03,3.125,23.27646255493164,29.742023468017578,2.841313123703003,13.40230655670166
2000-03-06,3.1968750953674316,22.750215530395508,28.04026222229004,2.7566771507263184,13.017183303833008
2000-03-07,3.174999952316284,22.507335662841797,28.736431121826172,2.6962242126464844,12.323960304260254
2000-03-08,3.1812500953674316,21.61676025390625,29.56795883178711,2.6357715129852295,13.325281143188477
2000-03-09,3.440624952316284,21.859636306762695,30.940982818603516,2.5874078273773193,14.121203422546387
2000-03-10,3.34375,20.96906280517578,31.25037384033203,2.5994982719421387,14.37795352935791
2000-03-13,3.265625,21.13098907470703,30.322153091430664,2.7808597087860107,14.095536231994629
2000-03-14,3.28125,21.414352416992188,29.43259048461914,2.792949676513672,13.6590576171875
2000-03-15,3.1875,22.588289260864258,29.509946823120117,3.191941499710083,14.480658531188965
2000-03-16,3.3125,23.074071884155273,29.509946823120117,3.4642367362976074,14.994147300720215
2000-03-17,3.2406249046325684,24.612335205078125,30.747596740722656,3.2946579456329346,14.711727142333984
